ets Jun  8 2016 00:22:57



0.0,-0.0
0.0,-0.0
0.0,-0.0
-0.06,0.01
-0.06,0.01
-0.06,0.01
-0.23,-0.08
-0.23,-0.08
-0.14,0.17
-0.14,0.17
-0.14,0.17
-0.08,-0.02
-0.08,-0.02
-0.08,-0.02
0.05,-0.11
0.05,-0.11
0.1,-0.11
0.1,-0.11
0.1,-0.11
-0.11,0.17
-0.11,0.17
-0.11,0.17
-0.01,-0.08
-0.01,-0.08
0.07,0.03
0.07,0.03
0.07,0.03
-0.04,-0.24
-0.04,-0.24
-0.04,-0.24
0.0,0.33
0.0,0.33
-0.28,0.26
-0.28,0.26
-0.28,0.26
-0.06,0.03
-0.06,0.03
-0.06,0.03
0.07,-0.14
0.07,-0.14
-0.12,0.03
-0.12,0.03
-0.12,0.03
-0.06,-0.24
-0.06,-0.24
-0.06,-0.24
-0.11,0.01
-0.11,0.01
0.11,0.09
0.11,0.09
0.11,0.09
0.33,-0.32
0.33,-0.32
0.33,-0.32
0.09,-0.08
0.09,-0.08
0.08,-0.19
0.08,-0.19
0.08,-0.19
0.22,0.27
0.22,0.27
0.22,0.27
0.3,-0.11
0.3,-0.11
0.11,-0.24
0.11,-0.24
0.11,-0.24
0.1,0.23
0.1,0.23
0.1,0.23
0.19,-0.0
0.19,-0.0
0.18,-0.13
0.18,-0.13
0.18,-0.13
-0.07,0.06
-0.07,0.06
-0.07,0.06
0.1,-0.11
0.1,-0.11
0.02,-0.2
0.02,-0.2
0.02,-0.2
0.19,0.08
0.19,0.08
0.19,0.08
0.02,-0.22
0.02,-0.22
-0.12,-0.02
-0.12,-0.02
-0.12,-0.02
-0.09,-0.31
-0.09,-0.31
-0.09,-0.31
0.07,-0.14
0.07,-0.14
-0.17,0.03
-0.17,0.03
-0.17,0.03
0.02,-0.19
0.02,-0.19
0.02,-0.19
-0.01,-0.03
-0.01,-0.03
0.14,-0.0
0.14,-0.0
0.14,-0.0
0.16,-0.16
0.16,-0.16
0.16,-0.16
-0.12,-0.05
-0.12,-0.05
0.03,-0.24
0.03,-0.24
0.03,-0.24
-0.04,0.05
-0.04,0.05
-0.04,0.05
-0.15,0.2
-0.15,0.2
0.1,0.03
0.1,0.03
0.1,0.03
-0.14,-0.05
-0.14,-0.05
-0.14,-0.05
-0.04,0.19
-0.04,0.19
0.21,-0.2
0.21,-0.2
0.21,-0.2
0.24,0.12
0.24,0.12
